student_id,attendance_percent,mid_exam_score,final_exam_score,assignments_avg,study_hours_per_week,success_status,
69,55,44,95,48,21,Fail,
70,91,62,76,42,17,Fail,
71,53,49,94,46,15,Fail,
72,78,71,71,97,6,Pass,
73,67,41,67,54,24,Fail,
74,75,52,42,69,20,Fail,
75,93,43,73,48,5,Fail,
76,83,54,53,98,23,Fail,
77,59,60,59,100,12,Fail,
78,85,83,99,80,3,Pass,
79,63,34,67,66,14,Fail,
80,80,42,52,75,17,Fail,
81,97,57,86,57,10,Fail,
82,64,72,52,70,17,Fail,
83,57,76,65,56,8,Fail,
84,63,100,86,93,17,Fail,
85,72,67,30,92,14,Fail,
86,89,96,32,45,6,Fail,
87,70,91,43,78,16,Fail,
88,65,68,63,64,8,Fail,
89,94,66,99,81,19,Pass,
90,67,37,98,81,21,Fail,
91,96,81,80,98,24,Pass,
92,73,62,58,77,3,Fail,
93,75,71,77,77,9,Pass,
94,74,56,45,100,11,Fail,
95,94,37,86,70,11,Pass,
96,90,52,39,90,12,Fail,
97,78,93,48,68,22,Fail,
98,64,49,96,79,22,Fail,
99,94,45,65,48,9,Fail,
100,50,46,33,40,17,Fail,
101,74,48,62,55,17,Fail,
102,56,37,57,77,18,Fail,
103,58,67,38,62,7,Fail,
104,73,67,35,98,19,Fail,
105,50,82,78,47,18,Fail,
106,93,60,51,86,13,Fail,
107,57,73,77,51,16,Fail,
108,73,89,50,49,8,Fail,
109,60,46,62,55,15,Fail,
110,100,68,85,86,5,Pass,
111,66,71,58,82,18,Fail,
112,57,77,82,63,12,Fail,
113,84,41,69,78,7,Pass,
114,84,47,47,47,11,Fail,
115,82,35,76,50,16,Fail,
116,54,72,42,80,7,Fail,
117,91,64,56,65,17,Fail,
118,88,83,91,46,13,Fail,
119,90,91,74,54,20,Fail,
120,77,98,32,54,17,Fail,
121,56,45,51,87,15,Fail,
122,58,37,56,42,7,Fail,
123,57,60,84,55,10,Fail,
124,61,39,96,54,23,Fail,
125,83,85,62,64,2,Pass,
126,82,99,31,72,23,Fail,
127,97,49,75,53,9,Fail,
128,72,34,62,63,8,Fail,
129,73,52,87,93,15,Fail,
130,86,38,36,50,9,Fail,
131,84,87,44,42,12,Fail,
132,93,88,55,48,10,Fail,
133,89,83,40,45,20,Fail,
134,71,75,67,70,8,Fail,
135,76,51,56,94,7,Fail,
136,84,93,36,55,19,Fail,
137,50,37,30,50,6,Fail,
138,84,49,50,89,20,Fail,
139,86,80,59,56,12,Fail,
140,96,68,37,88,6,Fail,
141,63,66,32,42,10,Fail,
142,52,79,84,98,9,Fail,
143,50,63,44,58,12,Fail,
144,54,62,65,63,23,Fail,
145,75,60,35,94,7,Fail,
146,63,83,71,86,16,Fail,
147,88,73,79,81,7,Pass,
148,76,63,47,47,23,Fail,
149,58,100,79,88,12,Fail,
150,64,91,59,75,16,Fail,
151,64,52,68,79,13,Fail,
152,75,75,41,97,10,Fail,
153,91,85,88,41,11,Fail,
154,62,36,73,62,16,Fail,
155,100,90,33,79,18,Fail,
156,81,32,65,69,17,Pass,
157,88,67,77,64,23,Pass,
158,98,63,43,46,9,Fail,
159,81,73,78,67,18,Pass,
160,53,59,96,80,12,Fail,
161,79,46,38,89,12,Fail,
162,86,88,50,98,7,Fail,
163,72,39,45,56,23,Fail,
164,88,47,45,71,3,Fail,
165,94,74,57,40,2,Fail,
166,64,88,80,66,21,Fail,
167,92,91,85,83,7,Pass,
168,78,88,86,75,6,Pass,
169,85,78,81,88,24,Pass,
170,62,92,75,46,23,Fail,
171,81,61,67,95,23,Pass,
172,56,39,77,42,10,Fail,
173,100,40,70,69,6,Pass,
174,71,99,88,40,19,Fail,
175,77,91,96,90,20,Pass,
176,51,76,95,73,16,Fail,
177,91,63,56,77,16,Fail,
178,94,46,61,82,10,Pass,
179,55,83,85,94,15,Fail,
180,77,69,39,96,6,Fail,
181,77,48,69,92,18,Pass,
182,93,96,46,75,16,Fail,
183,93,82,87,72,21,Pass,
184,69,93,35,82,18,Fail,
185,79,76,68,55,10,Fail,
186,60,35,47,77,14,Fail,
187,77,45,71,50,23,Fail,
188,74,47,33,47,14,Fail,
189,88,81,49,91,6,Fail,
190,82,77,57,40,15,Fail,
191,50,72,69,53,8,Fail,
192,76,68,94,69,6,Pass,
193,62,78,73,60,13,Fail,
194,90,41,52,97,4,Fail,
195,52,39,86,60,10,Fail,
196,88,100,76,73,11,Pass,
197,55,84,42,77,2,Fail,
198,57,30,45,65,15,Fail,
199,76,78,84,80,2,Pass,
200,58,65,94,53,11,Fail,
201,86,50,45,93,12,Fail,
202,82,66,66,79,21,Pass,
203,100,53,81,97,3,Pass,
204,91,84,39,74,24,Fail,
205,93,54,67,81,3,Pass,
206,73,36,73,57,24,Fail,
207,64,100,83,59,12,Fail,
208,81,100,80,99,9,Pass,
209,81,53,81,48,4,Fail,
210,73,40,99,80,10,Fail,
211,90,41,88,90,17,Pass,
212,98,64,42,99,17,Fail,
213,98,92,70,84,11,Pass,
214,61,97,41,72,7,Fail,
215,88,86,79,88,21,Pass,
216,51,42,86,43,21,Fail,
217,52,52,79,43,21,Fail,
218,98,68,86,98,12,Pass,
219,86,41,83,87,9,Pass,
220,98,63,95,99,21,Pass,
221,66,100,37,55,2,Fail,
222,98,60,92,86,7,Pass,
223,51,91,38,65,9,Fail,
224,51,42,89,45,15,Fail,
225,77,60,92,76,4,Pass,
226,72,31,32,61,3,Fail,
227,86,44,42,81,23,Fail,
228,81,86,38,78,2,Fail,
229,82,63,81,46,12,Fail,
230,50,97,91,81,22,Fail,
231,68,58,37,69,7,Fail,
232,51,95,74,49,9,Fail,
233,93,45,82,96,8,Pass,
234,75,68,92,54,7,Fail,
235,81,66,86,45,19,Fail,
236,55,50,83,63,13,Fail,
237,81,73,48,41,9,Fail,
238,53,48,96,79,22,Fail,
239,60,100,75,96,20,Fail,
240,66,37,39,91,6,Fail,
241,87,95,47,54,20,Fail,
242,73,70,41,92,10,Fail,
243,54,99,78,60,13,Fail,
244,83,90,52,57,16,Fail,
245,55,55,91,44,24,Fail,
246,71,100,40,64,14,Fail,
247,60,99,85,75,14,Fail,
248,97,58,84,49,22,Fail,
249,65,95,54,90,22,Fail,
250,82,48,38,85,6,Fail,
251,58,97,41,62,3,Fail,
252,55,87,40,63,20,Fail,
253,65,99,67,84,9,Fail,
254,78,86,57,100,15,Fail,
255,52,66,37,49,7,Fail,
256,69,90,76,93,8,Fail,
257,85,59,65,45,15,Fail,
258,68,100,79,52,7,Fail,
259,75,54,38,60,17,Fail,
260,52,94,89,71,5,Fail,
261,68,35,96,82,8,Fail,
262,69,47,82,93,17,Fail,
263,81,39,46,96,5,Fail,
264,56,40,82,54,8,Fail,
265,90,94,57,41,22,Fail,
266,82,94,92,97,3,Pass,
267,89,81,44,98,24,Fail,
268,88,96,48,54,9,Fail,
269,67,60,99,90,11,Fail,
270,89,46,76,56,3,Fail,
271,50,84,100,59,7,Fail,
272,60,65,77,89,5,Fail,
273,77,55,49,45,22,Fail,
274,74,82,66,54,2,Fail,
275,99,46,31,100,7,Fail,
276,72,54,93,56,13,Fail,
277,80,31,65,95,15,Pass,
278,79,34,34,65,16,Fail,
279,91,33,93,61,19,Pass,
280,84,65,36,48,18,Fail,
281,56,35,99,51,10,Fail,
282,65,50,51,61,16,Fail,
283,75,55,75,97,19,Pass,
284,97,84,69,62,22,Pass,
285,98,68,90,76,19,Pass,
286,51,62,75,53,6,Fail,
287,50,43,57,63,17,Fail,
288,97,85,64,47,10,Fail,
289,61,50,30,65,23,Fail,
290,54,75,58,71,4,Fail,
291,86,45,38,96,13,Fail,
292,81,45,38,67,15,Fail,
293,58,58,51,71,2,Fail,
294,90,37,92,61,10,Pass,
295,84,32,95,88,10,Pass,
296,68,48,87,48,21,Fail,
297,97,95,99,42,14,Fail,
298,65,51,84,64,9,Fail,
299,52,75,42,78,12,Fail,
300,69,42,48,51,15,Fail,
301,73,62,62,68,17,Fail,
302,82,34,94,42,12,Fail,
303,73,56,89,80,20,Fail,
304,60,53,41,85,23,Fail,
305,98,96,72,62,11,Pass,
306,57,92,46,62,9,Fail,
307,85,77,97,94,12,Pass,
308,87,92,58,57,9,Fail,
309,89,41,84,50,21,Fail,
310,69,57,36,75,11,Fail,
311,84,73,73,65,18,Pass,
312,97,72,34,47,24,Fail,
313,74,46,89,67,12,Fail,
314,84,69,35,57,13,Fail,
315,74,78,36,52,11,Fail,
316,78,86,75,75,21,Pass,
317,67,93,86,81,18,Fail,
318,95,86,83,79,4,Pass,
319,67,99,75,83,8,Fail,
320,51,72,39,90,4,Fail,
321,84,52,33,51,18,Fail,
322,65,56,96,61,24,Fail,
323,90,87,54,99,9,Fail,
324,85,66,90,41,22,Fail,
325,82,35,67,95,23,Pass,
326,53,94,61,79,20,Fail,
327,82,35,52,67,15,Fail,
328,63,79,66,52,6,Fail,
329,70,51,32,72,20,Fail,
330,97,54,42,42,14,Fail,
331,69,80,63,73,19,Fail,
332,57,77,94,62,24,Fail,
333,56,99,37,94,12,Fail,
334,52,94,38,71,24,Fail,
335,66,89,57,59,13,Fail,
336,82,75,47,67,9,Fail,
337,97,65,71,99,13,Pass,
338,61,87,70,47,2,Fail,
339,100,67,99,42,19,Fail,
340,71,40,62,69,3,Fail,
341,71,41,83,64,13,Fail,
342,95,71,65,92,20,Pass,
343,79,68,85,69,24,Pass,
344,87,100,46,68,8,Fail,
345,87,40,39,86,8,Fail,
346,94,65,73,69,2,Pass,
347,100,81,31,73,19,Fail,
348,57,60,43,64,9,Fail,
349,76,62,70,56,11,Fail,
350,76,42,31,98,24,Fail,
351,83,47,48,63,2,Fail,
352,70,70,30,77,16,Fail,
353,79,87,31,67,16,Fail,
354,82,85,56,72,5,Fail,
355,77,53,31,75,11,Fail,
356,96,60,80,90,9,Pass,
357,82,84,39,46,15,Fail,
358,54,39,48,62,14,Fail,
359,97,89,42,93,22,Fail,
360,68,31,77,85,18,Fail,
361,53,44,85,65,8,Fail,
362,84,32,85,53,7,Fail,
363,98,72,79,81,10,Pass,
364,66,60,74,67,21,Fail,
365,93,99,88,63,21,Pass,
366,77,96,68,46,9,Fail,
367,79,85,50,87,15,Fail,
368,78,92,84,75,21,Pass,
369,95,44,86,78,4,Pass,
370,55,39,70,54,24,Fail,
371,84,67,99,88,14,Pass,
372,90,76,78,42,22,Fail,
373,86,86,73,87,10,Pass,
374,73,79,64,41,22,Fail,
375,78,100,34,46,10,Fail,
376,98,44,100,96,23,Pass,
377,95,47,80,55,23,Fail,
378,80,31,86,60,12,Pass,
379,84,72,87,48,7,Fail,
380,82,55,65,51,24,Fail,
381,70,100,39,68,13,Fail,
382,81,67,79,63,5,Pass,
383,72,71,66,72,5,Fail,
384,82,34,49,53,24,Fail,
385,52,40,42,82,23,Fail,
386,67,94,48,57,18,Fail,
387,74,63,85,93,8,Fail,
388,91,30,74,44,7,Fail,
389,80,31,89,54,21,Fail,
390,52,49,97,98,9,Fail,
391,89,90,86,46,8,Fail,
392,95,50,83,64,9,Pass,
393,73,97,66,53,10,Fail,
394,99,41,66,91,2,Pass,
395,81,51,43,79,4,Fail,
396,96,49,73,75,19,Pass,
397,71,30,71,74,20,Fail,
398,72,59,30,83,12,Fail,
399,51,53,52,89,17,Fail,
400,76,43,93,63,19,Pass,
401,91,65,57,54,7,Fail,
402,51,98,33,50,3,Fail,
403,75,53,70,63,5,Pass,
404,66,89,89,50,6,Fail,
405,89,84,47,83,22,Fail,
406,82,53,92,90,15,Pass,
407,58,53,90,56,2,Fail,
408,92,83,78,100,23,Pass,
409,97,55,76,45,15,Fail,
410,88,95,68,60,22,Pass,
411,78,67,35,47,14,Fail,
412,91,94,82,54,23,Fail,
413,75,80,54,93,17,Fail,
414,84,64,94,91,5,Pass,
415,99,72,34,71,7,Fail,
416,74,58,94,97,10,Fail,
417,73,66,37,49,2,Fail,
418,62,87,68,67,23,Fail,
419,56,83,72,54,18,Fail,
420,85,68,34,51,24,Fail,
421,94,71,33,82,5,Fail,
422,69,57,30,57,7,Fail,
423,50,58,85,95,17,Fail,
424,57,72,74,76,8,Fail,
425,95,32,94,83,6,Pass,
426,65,39,32,63,10,Fail,
427,63,88,51,76,20,Fail,
428,61,43,85,93,2,Fail,
429,100,76,47,68,9,Fail,
430,72,71,54,49,21,Fail,
431,64,61,77,53,24,Fail,
432,77,61,60,55,5,Fail,
433,83,71,59,76,24,Fail,
434,51,61,95,50,18,Fail,
435,81,55,39,90,2,Fail,
436,72,30,100,65,3,Fail,
437,71,85,88,79,22,Fail,
438,100,31,80,58,15,Fail,
439,74,59,38,91,23,Fail,
440,71,100,83,93,3,Fail,
441,71,81,91,57,2,Fail,
442,98,38,38,69,14,Fail,
443,91,51,38,71,24,Fail,
444,55,63,53,62,9,Fail,
445,64,78,68,92,23,Fail,
446,92,30,37,51,10,Fail,
447,86,82,54,97,21,Fail,
448,82,69,95,52,22,Fail,
449,57,74,39,60,3,Fail,
450,93,97,53,60,18,Fail,
451,93,38,88,68,7,Pass,
452,54,51,60,68,4,Fail,
453,88,47,40,89,21,Fail,
454,53,72,35,66,18,Fail,
455,55,68,99,68,7,Fail,
456,94,35,61,54,9,Fail,
457,81,77,68,86,15,Pass,
458,79,36,77,51,11,Fail,
459,96,98,42,97,21,Fail,
460,84,45,88,80,11,Pass,
461,89,30,96,58,16,Fail,
462,65,66,85,51,9,Fail,
463,62,66,70,62,12,Fail,
464,99,93,85,44,17,Fail,
465,91,91,64,97,4,Pass,
466,79,90,67,65,16,Pass,
467,68,62,96,92,14,Fail,
468,66,95,63,91,12,Fail,
469,68,59,99,49,15,Fail,
470,77,49,40,61,8,Fail,
471,75,89,56,78,20,Fail,
472,86,53,77,62,16,Pass,
473,75,33,53,50,7,Fail,
474,72,66,47,67,21,Fail,
475,58,33,56,70,23,Fail,
476,61,47,83,47,8,Fail,
477,50,95,84,92,15,Fail,
478,50,77,50,78,23,Fail,
479,96,62,88,87,5,Pass,
480,83,87,63,67,10,Pass,
481,81,57,87,55,8,Fail,
482,97,64,77,85,16,Pass,
483,74,39,83,86,4,Fail,
484,89,94,47,91,6,Fail,
485,94,71,32,70,18,Fail,
486,50,38,53,80,2,Fail,
487,65,89,30,87,2,Fail,
488,88,44,35,55,17,Fail,
489,54,86,48,44,24,Fail,
490,71,98,72,74,15,Fail,
491,78,51,37,92,12,Fail,
492,52,93,98,64,15,Fail,
493,61,70,81,52,9,Fail,
494,75,100,76,68,20,Pass,
495,65,85,57,66,3,Fail,
496,100,52,75,79,24,Pass,
497,86,54,33,56,11,Fail,
498,71,35,37,76,6,Fail,
499,78,63,90,77,16,Pass,
500,63,92,46,68,2,Fail,
501,77,38,63,97,3,Pass,
502,54,89,49,100,20,Fail,
503,96,78,63,98,23,Pass,
504,98,80,72,73,18,Pass,
505,79,89,39,69,16,Fail,
506,95,99,59,70,19,Fail,
507,54,66,54,61,22,Fail,
508,61,60,86,85,9,Fail,
509,65,70,92,64,22,Fail,
510,75,91,100,43,15,Fail,
511,75,87,76,74,9,Pass,
512,97,43,32,80,23,Fail,
513,70,65,75,89,24,Fail,
514,88,65,65,83,9,Pass,
515,85,37,55,48,20,Fail,
516,82,55,39,98,14,Fail,
517,79,65,63,65,6,Pass,
518,86,77,37,66,11,Fail,
519,72,57,84,66,8,Fail,
520,59,97,39,57,10,Fail,
521,54,91,86,69,15,Fail,
522,85,80,74,84,7,Pass,
523,83,71,79,98,11,Pass,
524,80,58,93,85,2,Pass,
525,59,39,31,70,12,Fail,
526,68,68,74,81,9,Fail,
527,81,30,91,42,7,Fail,
528,50,68,43,68,18,Fail,
529,54,50,44,46,5,Fail,
530,94,94,43,57,7,Fail,
531,53,44,60,55,16,Fail,
532,65,33,58,88,11,Fail,
533,73,89,56,96,18,Fail,
534,65,90,38,71,11,Fail,
535,51,49,49,77,6,Fail,
536,98,39,87,64,20,Pass,
537,77,63,78,83,8,Pass,
538,81,77,86,71,20,Pass,
539,76,62,45,58,11,Fail,
540,69,90,37,42,20,Fail,
541,73,39,96,97,12,Fail,
542,61,83,48,99,4,Fail,
543,99,94,96,74,12,Pass,
544,84,30,65,89,7,Pass,
545,82,34,89,68,7,Pass,
546,82,44,65,50,16,Fail,
547,100,57,40,45,4,Fail,
548,92,52,80,58,23,Fail,
549,86,46,84,76,12,Pass,
550,61,42,83,84,9,Fail,
551,52,43,46,66,24,Fail,
552,50,40,91,44,24,Fail,
553,82,57,71,65,9,Pass,
554,89,71,53,74,24,Fail,
555,59,90,46,58,17,Fail,
556,92,93,77,56,4,Fail,
557,93,60,99,93,9,Pass,
558,78,39,36,74,9,Fail,
559,62,37,43,86,14,Fail,
560,61,50,40,88,2,Fail,
561,80,88,41,52,11,Fail,
562,95,79,34,53,6,Fail,
563,51,98,34,69,6,Fail,
564,100,99,49,100,18,Fail,
565,99,59,83,97,23,Pass,
566,84,46,84,87,15,Pass,
567,72,49,87,96,7,Fail,
568,66,77,59,82,15,Fail,
569,75,31,53,56,13,Fail,
570,57,66,32,76,21,Fail,
571,78,30,77,92,23,Pass,
572,75,33,100,54,23,Fail,
573,59,83,51,57,2,Fail,
574,75,54,43,87,6,Fail,
575,83,32,77,53,19,Fail,
576,100,38,58,53,15,Fail,
577,90,63,79,84,8,Pass,
578,56,72,39,72,16,Fail,
579,53,51,100,77,10,Fail,
580,99,99,56,94,16,Fail,
581,94,31,57,50,17,Fail,
582,60,95,38,50,10,Fail,
583,78,61,100,96,8,Pass,
584,85,45,55,87,8,Fail,
585,74,30,37,95,18,Fail,
586,70,77,31,65,12,Fail,
587,85,79,86,42,7,Fail,
588,59,42,81,64,15,Fail,
589,86,44,87,56,16,Fail,
590,58,82,32,100,22,Fail,
591,73,73,37,61,9,Fail,
592,84,37,88,68,5,Pass,
593,98,75,31,85,2,Fail,
594,84,98,91,65,7,Pass,
595,97,48,78,73,2,Pass,
596,85,67,49,65,22,Fail,
597,67,40,58,96,6,Fail,
598,98,72,46,48,20,Fail,
599,88,49,51,79,6,Fail,
600,81,49,35,100,23,Fail,
601,73,50,91,50,6,Fail,
602,72,86,60,46,18,Fail,
603,81,79,91,69,13,Pass,
604,86,55,41,93,8,Fail,
605,61,59,41,41,16,Fail,
606,98,60,92,69,20,Pass,
607,62,71,45,43,24,Fail,
608,72,97,54,97,22,Fail,
609,74,90,51,94,14,Fail,
610,84,90,47,53,13,Fail,
611,90,99,74,52,20,Fail,
612,79,97,97,93,14,Pass,
613,66,46,41,64,7,Fail,
614,98,48,78,52,2,Fail,
615,69,80,62,52,7,Fail,
616,97,99,92,76,14,Pass,
617,74,92,47,99,14,Fail,
618,71,59,83,83,14,Fail,
619,62,54,56,45,21,Fail,
620,68,100,54,65,5,Fail,
621,98,55,63,93,6,Pass,
622,85,85,89,53,14,Fail,
623,61,51,83,47,10,Fail,
624,90,48,34,63,18,Fail,
625,68,60,65,61,4,Fail,
626,61,55,83,79,21,Fail,
627,58,71,65,78,19,Fail,
628,56,70,98,88,16,Fail,
629,77,52,68,60,24,Pass,
630,63,76,99,82,2,Fail,
631,80,42,33,65,10,Fail,
632,68,95,94,49,7,Fail,
633,96,95,69,52,19,Fail,
634,65,45,66,81,2,Fail,
635,54,57,96,92,23,Fail,
636,84,64,60,97,8,Pass,
637,61,70,76,53,11,Fail,
638,74,60,56,48,7,Fail,
639,70,61,80,46,8,Fail,
640,85,83,49,78,7,Fail,
641,72,88,42,97,9,Fail,
642,65,70,92,70,3,Fail,
643,88,95,73,89,10,Pass,
644,94,83,53,55,10,Fail,
645,91,69,32,47,8,Fail,
646,88,57,39,87,10,Fail,
647,63,66,94,90,18,Fail,
648,80,94,78,54,4,Fail,
649,54,84,87,64,17,Fail,
650,84,33,31,86,17,Fail,
651,72,39,95,77,3,Fail,
652,78,76,60,80,12,Pass,
653,92,43,97,54,17,Fail,
654,60,67,66,64,16,Fail,
655,67,41,53,46,2,Fail,
656,96,74,73,65,22,Pass,
657,61,46,70,99,18,Fail,
658,58,64,80,47,4,Fail,
659,59,95,71,57,23,Fail,
660,93,70,69,60,23,Pass,
661,66,96,77,55,20,Fail,
662,87,58,33,86,21,Fail,
663,56,47,89,42,8,Fail,
664,95,49,68,40,23,Fail,
665,62,43,34,52,12,Fail,
666,89,63,35,93,19,Fail,
667,91,78,43,100,15,Fail,
668,58,83,99,71,17,Fail,
669,99,60,41,51,7,Fail,
670,76,87,91,70,3,Pass,
671,51,71,56,80,24,Fail,
672,54,87,83,41,12,Fail,
673,78,59,41,80,12,Fail,
674,86,54,37,47,11,Fail,
675,87,92,45,98,5,Fail,
676,68,48,81,64,18,Fail,
677,57,37,55,44,11,Fail,
678,97,32,37,84,10,Fail,
679,94,96,74,41,14,Fail,
680,50,46,48,81,12,Fail,
681,71,43,46,97,11,Fail,
682,66,38,94,77,6,Fail,
683,56,91,58,78,4,Fail,
684,74,50,43,42,5,Fail,
685,94,66,46,85,4,Fail,
686,53,40,42,87,11,Fail,
687,85,49,92,77,14,Pass,
688,55,64,62,61,6,Fail,
689,80,82,58,79,14,Fail,
690,68,76,66,72,2,Fail,
691,93,81,75,91,12,Pass,
692,88,37,53,71,4,Fail,
693,76,33,43,86,18,Fail,
694,59,56,34,56,20,Fail,
695,75,73,82,95,14,Pass,
696,68,69,59,57,17,Fail,
697,88,76,89,95,19,Pass,
698,52,73,57,42,24,Fail,
699,94,77,55,95,21,Fail,
700,62,81,47,45,24,Fail,
701,99,97,65,88,20,Pass,
702,77,40,37,94,7,Fail,
703,69,33,47,52,24,Fail,
704,77,77,87,94,8,Pass,
705,57,55,61,93,16,Fail,
706,90,68,78,70,6,Pass,
707,88,87,77,56,17,Fail,
708,50,48,100,60,7,Fail,
709,52,87,94,55,4,Fail,
710,62,57,62,56,13,Fail,
711,77,95,79,71,5,Pass,
712,98,39,33,40,23,Fail,
713,74,87,65,87,4,Fail,
714,82,43,57,77,17,Fail,
715,87,44,32,47,17,Fail,
716,55,62,35,40,24,Fail,
717,93,46,74,41,20,Fail,
718,94,53,52,86,16,Fail,
719,81,59,36,76,10,Fail,
720,94,91,90,63,21,Pass,
721,96,42,94,66,3,Pass,
722,70,91,35,59,7,Fail,
723,65,76,53,86,15,Fail,
724,70,45,66,60,10,Fail,
725,60,95,74,81,11,Fail,
726,86,72,80,76,19,Pass,
727,85,37,74,74,16,Pass,
728,84,32,92,77,5,Pass,
729,68,41,58,92,6,Fail,
730,69,45,54,54,24,Fail,
731,67,88,39,89,22,Fail,
732,96,78,64,85,7,Pass,
733,90,92,84,81,16,Pass,
734,98,91,54,69,21,Fail,
735,63,78,74,43,3,Fail,
736,64,80,41,82,17,Fail,
737,80,62,33,91,6,Fail,
738,50,59,96,78,24,Fail,
739,52,88,46,54,5,Fail,
740,65,44,94,62,2,Fail,
741,72,52,82,80,9,Fail,
742,60,74,86,54,22,Fail,
743,61,91,57,65,11,Fail,
744,59,100,45,51,16,Fail,
745,81,44,50,57,3,Fail,
746,65,75,71,45,20,Fail,
747,57,93,83,57,13,Fail,
748,87,75,61,96,11,Pass,
749,61,85,67,89,13,Fail,
750,73,73,99,93,22,Fail,
751,77,58,67,63,21,Pass,
752,57,91,83,77,10,Fail,
753,77,81,89,67,9,Pass,
754,85,83,76,54,3,Fail,
755,75,86,41,58,22,Fail,
756,57,95,82,44,8,Fail,
757,99,51,62,43,5,Fail,
758,77,49,57,56,20,Fail,
759,77,62,32,92,9,Fail,
760,86,54,55,49,14,Fail,
761,90,75,83,51,22,Fail,
762,85,86,69,44,4,Fail,
763,76,34,95,46,6,Fail,
764,66,84,97,83,21,Fail,
765,58,90,76,62,9,Fail,
766,82,37,31,41,3,Fail,
767,69,45,71,69,11,Fail,
768,62,77,63,91,23,Fail,
769,77,90,50,88,17,Fail,
770,97,44,73,84,5,Pass,
771,78,94,31,76,15,Fail,
772,62,51,88,44,4,Fail,
773,95,32,45,59,11,Fail,
774,84,83,49,65,14,Fail,
775,55,43,55,83,6,Fail,
776,67,65,45,83,23,Fail,
777,100,96,99,78,18,Pass,
778,54,39,52,45,18,Fail,
779,96,78,71,68,12,Pass,
780,74,94,66,49,20,Fail,
781,51,86,35,90,19,Fail,
782,59,56,66,55,18,Fail,
783,79,34,51,73,12,Fail,
784,99,100,35,70,16,Fail,
785,94,86,61,75,9,Pass,
786,54,44,46,80,13,Fail,
787,82,59,67,97,18,Pass,
788,50,49,46,44,6,Fail,
789,67,66,66,72,5,Fail,
790,81,32,52,82,12,Fail,
791,96,70,78,58,9,Fail,
792,98,68,90,71,17,Pass,
793,60,55,78,96,17,Fail,
794,70,31,90,62,4,Fail,
795,75,52,61,42,13,Fail,
796,74,52,92,40,14,Fail,
797,71,45,36,75,2,Fail,
798,76,38,51,80,5,Fail,
799,98,42,35,67,22,Fail,
800,62,57,90,87,7,Fail,
801,82,56,43,78,6,Fail,
802,83,80,45,44,6,Fail,
803,90,93,32,52,22,Fail,
804,84,81,38,50,11,Fail,
805,50,67,76,85,20,Fail,
806,70,94,71,61,19,Fail,
807,97,47,71,88,3,Pass,
808,55,92,52,62,17,Fail,
809,77,80,32,51,16,Fail,
810,66,38,30,92,6,Fail,
811,54,42,96,94,22,Fail,
812,80,69,100,92,23,Pass,
813,54,84,32,60,10,Fail,
814,87,72,78,58,24,Fail,
815,52,73,96,44,6,Fail,
816,72,97,84,63,6,Fail,
817,86,62,33,69,10,Fail,
818,86,53,60,47,10,Fail,
